Lugar,X,Y
Capurro,570828.2640091081,6140845.917823809
Carrasco,587676.8445616622,6140718.726181077
Casavalle,575368.9595276441,6145108.822644321
Centro,574467.6591335342,6136915.264670634
Cerro,568870.0334612507,6139034.330906157
Chacarita,581735.6074213847,6145173.337801107
Ciudad Vieja,572998.6491429339,6137444.702388216
Colon,568905.3452052651,6146665.78782536
Curva de Maronas,579219.7083052243,6142261.30427543
La Blanqueada,576334.0253650747,6139991.829545539
La Esperanza,585512.4180240878,6149876.896236933
Lezica,569915.8299484616,6150952.397756971
Malvin,580960.0877131535,6137944.442367882
Manga,579103.0526841512,6150575.409651969
Paso de la Arena,567576.1072760313,6144173.936863595
Prado,573268.0099897027,6142934.988777509
Pta.Yeguas,563863.3044375608,6139448.069841676
Punta Carretas,576700.0769688608,6133903.887953116
Santiago Vazquez,559189.078049294,6150356.695992896
